final normalized drug id,final normalized drug label,final normalized disease id,final normalized disease label,drug|disease,FDA,EMA,PMDA
CHEBI:8327,Polythiazide,MONDO:0005009,congestive heart failure,CHEBI:8327|MONDO:0005009,true,,
CHEBI:8327,Polythiazide,MONDO:0005155,liver cirrhosis,CHEBI:8327|MONDO:0005155,true,,
CHEBI:8327,Polythiazide,MONDO:0005377,nephrotic syndrome,CHEBI:8327|MONDO:0005377,true,,
CHEBI:8327,Polythiazide,UMLS:C0156221,Acute glomerulonephritis,CHEBI:8327|UMLS:C0156221,true,,
CHEBI:8327,Polythiazide,MONDO:0005300,chronic kidney disease,CHEBI:8327|MONDO:0005300,true,,
CHEBI:8327,Polythiazide,MONDO:0005044,hypertension,CHEBI:8327|MONDO:0005044,true,,
CHEBI:64354,Metolazone,MONDO:0005044,hypertension,CHEBI:64354|MONDO:0005044,true,,
CHEBI:9613,Tolazamide,MONDO:0011072,"diabetes mellitus, noninsulin-dependent, 2",CHEBI:9613|MONDO:0011072,true,,
CHEBI:9613,Tolazamide,MONDO:0002909,hyperglycemia,CHEBI:9613|MONDO:0002909,true,,
CHEBI:6754,Meperidine,HP:0012531,Pain,CHEBI:6754|HP:0012531,true,,
CHEBI:5120,Fluoxymesterone,MONDO:0009420,primary hypergonadotropic hypogonadism-partial alopecia syndrome,CHEBI:5120|MONDO:0009420,true,,
CHEBI:5120,Fluoxymesterone,MONDO:0023554,acquired testicular failure,CHEBI:5120|MONDO:0023554,true,,
CHEBI:5120,Fluoxymesterone,MONDO:0009047,cryptorchidism,CHEBI:5120|MONDO:0009047,true,,
CHEBI:5120,Fluoxymesterone,MONDO:0008573,"tibial torsion, bilateral medial",CHEBI:5120|MONDO:0008573,true,,
CHEBI:5120,Fluoxymesterone,MONDO:0006882,orchitis,CHEBI:5120|MONDO:0006882,true,,
CHEBI:5120,Fluoxymesterone,MONDO:8000015,Anorchia,CHEBI:5120|MONDO:8000015,true,,
CHEBI:5120,Fluoxymesterone,MONDO:0018555,hypogonadotropic hypogonadism,CHEBI:5120|MONDO:0018555,true,,
CHEBI:5120,Fluoxymesterone,MONDO:0013914,hypogonadotropic hypogonadism 12 with or without anosmia,CHEBI:5120|MONDO:0013914,true,,
CHEBI:5120,Fluoxymesterone,HP:0000823,Delayed puberty,CHEBI:5120|HP:0000823,true,,
CHEBI:5120,Fluoxymesterone,MONDO:0007254,breast cancer,CHEBI:5120|MONDO:0007254,true,,
CHEBI:4317,dantrolene,MONDO:0043797,spinal cord injury,CHEBI:4317|MONDO:0043797,true,,
